EAN,Referencia,Nombre,Coste,Precio,tipo_IVA,P.V.P.,Beneficio,%MC,%MV,Stock,Dias_ult_venta,Proveedor,Clasificación,Distancia
8423537005690,,AMB AMAHOGAR ABSORBEOLORES VARIOS(ALFONSO),0.702,1.03,21 ,1.25,0.33,46.7,31.8,46,11,ALFONSO CLEMARES(LEJIA),LIMPIEZA,122.45206652299984
8423537003627,,AMB AMAHOGAR ABSORBEOLORES VARIOS(ALFONSO),0.702,1.03,21 ,1.25,0.33,46.7,31.8,6,54,ALFONSO CLEMARES(LEJIA),LIMPIEZA,122.45206652299984
8423537001876,,AMB AMAHOGAR ASORBEOLORES MANZANA(ALFONSO),0.57,1.03,21 ,1.25,0.46,80.7,44.7,0,920,ALFONSO CLEMARES(LEJIA),LIMPIEZA,122.58406652299985
8423537004860,,AMB AMAHOGAR BRISA MARINA,0.736,1.03,21 ,1.25,0.29,40.0,28.5,0,32,ALFONSO CLEMARES(LEJIA),,85.91729365571865
8436559711364,1102384,AMB AMBAR ARMARIOS AIRE LIMPIO,0.73,1.24,21 ,1.5,0.51,69.9,41.1,0,213,BEMALU,LIMPIEZA,92.34979781340616
8436559711388,1102386,AMB AMBAR ARMARIOS BAMBU,0.667,1.24,21 ,1.5,0.57,85.9,46.2,3,259,BEMALU,LIMPIEZA,82.4580415768749
8436559711890,1102390,AMB AMBAR ARMARIOS BOUQUET FLORAL,0.73,1.24,21 ,1.5,0.51,69.9,41.1,0,101,BEMALU,LIMPIEZA,98.98630197109364
8436559711371,1102385,AMB AMBAR ARMARIOS COLONIA INFANTIL,0.667,1.24,21 ,1.5,0.57,85.9,46.2,4,10,BEMALU,LIMPIEZA,99.04930197109364
8436559711418,1102387,AMB AMBAR ARMARIOS FRUTOS ROJOS,0.667,1.24,21 ,1.5,0.57,85.9,46.2,2,60,BEMALU,LIMPIEZA,95.7310498922499
8436559711401,1102389,AMB AMBAR ARMARIOS LINO BLANCO,0.667,1.24,21 ,1.5,0.57,85.9,46.2,5,7,BEMALU,LIMPIEZA,95.7310498922499
8436559711777,1102315,AMB AMBAR COCHE ACQUATIC 4ML,1.13,1.61,21 ,1.95,0.48,42.5,29.8,0,389,GROSSEN VERBRAUCH,LIMPIEZA,84.94329365571866
84136559711791,,AMB AMBAR COCHE FRUTOS SILVESTRES 4ML,1.13,1.61,21 ,1.95,0.48,42.5,29.8,0,580,GROSSEN VERBRAUCH,LIMPIEZA,114.80756236531238
8436559713139,,AMB AMBAR FLOR 75ML DAMA NOCHE,2.911,4.12,21 ,4.99,1.21,41.5,29.3,2,8,BEMALU,LIMPIEZA,80.65229365571865
8436559713153,,AMB AMBAR FLOR 75ML FRUTAPASION,2.911,4.12,21 ,4.99,1.21,41.5,29.3,3,18,BEMALU,LIMPIEZA,90.60704989224989
8436559713146,,AMB AMBAR FLOR 75ML FRUTOS ROJOS,2.911,4.12,21 ,4.99,1.21,41.5,29.3,6,34,BEMALU,LIMPIEZA,90.60704989224989
8436559713160,,AMB AMBAR FLOR 75ML SPA,2.911,4.12,21 ,4.99,1.21,41.5,29.3,3,8,BEMALU,LIMPIEZA,77.3340415768749
