;EAN;Referencia;;Nombre;Coste;Precio;;P.V.P.;Beneficio;%MC;%MV;Stock;;Proveedor;Clasificación;
Normal;3614229823776;;;COL BOSS HUGO MAN EDT 200ML CBR;43,350 €;82,64 €;21 %;100,00 €;39,29 €;90,6 %;47,5 %;-2;356;NAYPES;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411114090313;1149380;;COL BRAWL STARS SET EDT 50ML+GEL 100ML+LLAVERO INF;6,881 €;10,70 €;21 %;12,95 €;3,82 €;55,5 %;35,7 %;-4;106;AIR-VAL;PERFUMERIA CONSUMO;
Normal;8429014015169;;;COL BRISA EDP BELLE 80ML SRA;1,081 €;2,47 €;21 %;2,99 €;1,39 €;128,5 %;56,2 %;2;144;DPH S. L .;;
Normal;8429014015190;;;COL BRISA EDP BOTTLE CRO 80ML;1,081 €;2,47 €;21 %;2,99 €;1,39 €;128,5 %;56,2 %;3;146;DPH S. L .;;
Normal;8429014015152;;;COL BRISA EDP GOOD 80ML SRA;1,081 €;2,47 €;21 %;2,99 €;1,39 €;128,5 %;56,2 %;1;200;DPH S. L .;;
Normal;8429014015176;;;COL BRISA EDP INV CRO 80ML;1,081 €;2,47 €;21 %;2,99 €;1,39 €;128,5 %;56,2 %;0;153;DPH S. L .;;
Normal;8429014015145;;;COL BRISA EDP OLP 80ML SRA;1,081 €;2,47 €;21 %;2,99 €;1,39 €;128,5 %;56,2 %;-1;165;DPH S. L .;;
Normal;8429014015183;;;COL BRISA EDP ONE CRO 80ML;1,081 €;2,47 €;21 %;2,99 €;1,39 €;128,5 %;56,2 %;4;-1;DPH S. L .;;
Actualizado desde fichero o API;8414135018656;1149139;;COL BRUMMEL 125V CBR;4,570 €;5,78 €;21 %;6,99 €;1,21 €;26,5 %;20,9 %;-7;3;DE RUY PERFUMES S.A.U;PERFUMERIA CONSUMO;
Actualizado desde fichero o API;8414135024084;1148847;;COL BRUMMEL CLASSIC MAN ESTUCHE  EDC 125M LCBR;6,305 €;8,22 €;21 %;9,95 €;1,92 €;30,4 %;23,3 %;13;0;DE RUY PERFUMES S.A.U;PERFUMERIA CONSUMO;
Normal;8414135018595;1149137;;COL BRUMMEL MAN EDC 500ML CBR;8,739 €;10,70 €;21 %;12,95 €;1,96 €;22,4 %;18,3 %;-21;0;DE RUY PERFUMES S.A.U;PERFUMERIA CONSUMO;
Actualizado desde fichero o API;3014230021039;1075006;;COL BRUT ORIGINAL EDT SPRAY 100ML CBR;2,822 €;18,18 €;21 %;22,00 €;15,36 €;544,2 %;84,5 %;0;571;NAYPES;PERFUMERIA SELECTIVA;
Normal;783320881190;1117269;;COL BULGARI BLU HOMME 50V CBR;22,720 €;57,02 €;21 %;69,00 €;34,30 €;151,0 %;60,1 %;0;750;NAYPES;PERFUMERIA SELECTIVA;
Normal;783320402739;;;COL BULGARI BLV 100ML CBR;36,320 €;76,86 €;21 %;93,00 €;40,54 €;111,6 %;52,8 %;0;487;AYATS;;
Actualizado desde fichero o API;783320971525;;;COL BULGARI MAN EDT 100ML VAP CBR;33,333 €;75,21 €;21 %;91,00 €;41,88 €;125,6 %;55,7 %;-1;452;NAYPES;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;783320411656;;;COL BULGARI PETIT EDT MAMANS 10ML ESTUCHE;28,930 €;49,59 €;21 %;60,00 €;20,66 €;71,4 %;41,7 %;0;543;NAYPES;PERFUMERIA SELECTIVA;
Normal;783320411298;;;COL BULGARI PETITS ET MAMANS EDT 100ML INF;31,185 €;63,64 €;21 %;77,00 €;32,45 €;104,1 %;51,0 %;1;73;NAYPES;;
Normal;5045252667309;;;COL BURBERRY EDP 100V SRA;30,195 €;88,02 €;21 %;106,50 €;57,83 €;191,5 %;65,7 %;2;157;NAYPES;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;3614226905758;;;COL BURBERRY MEN EDT 100ML CRO;27,270 €;63,64 €;21 %;77,00 €;36,37 €;133,4 %;57,1 %;0;332;;PERFUMERIA SELECTIVA;
Normal;3386460014137;;;COL BURBERRY WEEKEND 50ML 2PZAS;24,720 €;33,05 €;21 %;39,99 €;8,33 €;33,7 %;25,2 %;0;280;COVALDROPER GRUPO;;
Normal;3614226905284;1148674;;COL BURBERRY WEEKEND WOMAN EDP SPRAY 100ML;24,630 €;88,18 €;21 %;106,70 €;63,55 €;258,0 %;72,1 %;0;188;NAYPES;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061054888;1157795;;COL BUSTAMANTE MUY MIO SET EDT 100ML+ DEO 150ML;6,674 €;7,43 €;21 %;8,99 €;0,76 €;11,3 %;10,2 %;0;185;PUIG CONSUMO;PERFUMERIA CONSUMO;
Normal;3386460102995;;;COL BYZANCE ROCHAS EDP 90ML SRA;31,890 €;82,64 €;21 %;100,00 €;50,75 €;159,1 %;61,4 %;1;-1;NAYPES;;
Actualizado desde fichero o API;3360373063680;1075051;;COL CACHAREL AMOR AMOR EDT 100V SRA;26,850 €;80,99 €;21 %;98,00 €;54,14 €;201,6 %;66,8 %;0;21;VILLALBA AL ALBA(FIRMAS);PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;3614272026070;;;COL CACHAREL AMOR AMOR EDT 150V SRA;36,380 €;79,17 €;21 %;95,80 €;42,79 €;117,6 %;54,0 %;0;654;AYATS;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;3360373063697;1044333;;COL CACHAREL AMOR AMOR EDT 30V SRA;13,960 €;34,71 €;21 %;42,00 €;20,75 €;148,6 %;59,8 %;0;472;VILLALBA AL ALBA(FIRMAS);PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;3360373063703;1051796;;COL CACHAREL AMOR AMOR EDT 50V SRA;19,180 €;51,24 €;21 %;62,00 €;32,06 €;167,2 %;62,6 %;-1;164;NAYPES;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;3614273669955;1075054;;COL CACHAREL AMOR AMOR ESTUCHE EDT 100V+30V SRA;37,500 €;73,55 €;21 %;89,00 €;36,05 €;96,1 %;49,0 %;0;202;NAYPES;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;3360370512044;1097330;;COL CACHAREL ANAIS  ANAIS EDT 30V SRA;14,632 €;35,54 €;21 %;43,00 €;20,91 €;142,9 %;58,8 %;0;173;VILLALBA AL ALBA(FIRMAS);PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;3360374533205;1051809;;COL CACHAREL ANAIS 100V SRA;25,146 €;79,34 €;21 %;96,00 €;54,19 €;215,5 %;68,3 %;-1;17;VILLALBA AL ALBA(FIRMAS);PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;3360374507206;1051808;;COL CACHAREL ANAIS 50VAP SRA;18,741 €;57,02 €;21 %;69,00 €;38,28 €;204,3 %;67,1 %;0;185;VILLALBA AL ALBA(FIRMAS);PERFUMERIA SELECTIVA;
Normal;3605972081490;;;COL CACHAREL ANAIS EDT 100V+30V PACK SRA;31,240 €;73,55 €;21 %;89,00 €;42,31 €;135,4 %;57,5 %;0;1.011;AYATS;PERFUMERIA SELECTIVA;
Normal;3360373001774;1051827;;COL CACHAREL HOMME 100VAP CBR;28,900 €;82,64 €;21 %;100,00 €;53,74 €;185,9 %;65,0 %;-2;42;VILLALBA AL ALBA(FIRMAS);PERFUMERIA SELECTIVA;
Normal;3360373000081;1051824;;COL CACHAREL LOULOU EDP 50VAP SRA;21,948 €;60,33 €;21 %;73,00 €;38,38 €;174,9 %;63,6 %;-4;160;VILLALBA AL ALBA(FIRMAS);PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;3360373016358;1051815;;COL CACHAREL NOA 100V SRA;25,400 €;80,99 €;21 %;98,00 €;55,59 €;218,9 %;68,6 %;-1;47;VILLALBA AL ALBA(FIRMAS);PERFUMERIA SELECTIVA;
Normal;3360373016334;1051813;;COL CACHAREL NOA 30ML VAP SRA;15,583 €;38,84 €;21 %;47,00 €;23,26 €;149,3 %;59,9 %;0;5;VILLALBA AL ALBA(FIRMAS);PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;3360373016341;1051814;;COL CACHAREL NOA 50V SRA;21,038 €;59,50 €;21 %;72,00 €;38,46 €;182,8 %;64,6 %;0;5;NAYPES;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;0088300604432;1075130;;COL CAL KLE CKBE UNI 200VAP;21,190 €;98,51 €;21 %;119,20 €;77,32 €;364,9 %;78,5 %;-4;17;VILLALBA AL ALBA(FIRMAS);PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;0088300607433;1075137;;COL CAL KLE CKONE 200V UNI;25,210 €;97,93 €;21 %;118,50 €;72,72 €;288,5 %;74,3 %;-17;6;COVALDROPER GRUPO;PERFUMERIA SELECTIVA;
Normal;088300100514;;;COL CAL KLE ESCAPE 100V CBR;18,070 €;60,87 €;21 %;73,65 €;42,80 €;236,9 %;70,3 %;4;17;NAYPES;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;088300608409;1072270;;COL CAL KLE ESCAPE SRA EDP 100VAP;19,670 €;77,27 €;21 %;93,50 €;57,60 €;292,8 %;74,5 %;-4;10;NAYPES;PERFUMERIA SELECTIVA;
Normal;0088300605309;;;COL CAL KLE ETERNITY 50V CBR;12,880 €;47,85 €;21 %;57,90 €;34,97 €;271,5 %;73,1 %;0;-1;NAYPES;PERFUMERIA SELECTIVA;
Normal;088300105519;1075362;;COL CAL KLE ETERNITY CBR 100VAP;25,146 €;82,31 €;21 %;99,60 €;57,16 €;227,3 %;69,5 %;1;15;COVALDROPER GRUPO;PERFUMERIA SELECTIVA;
Normal;088300601400;1075360;;COL CAL KLE ETERNITY EDP 100VAP SRA;26,210 €;83,97 €;21 %;101,60 €;57,76 €;220,4 %;68,8 %;-3;15;NAYPES;PERFUMERIA SELECTIVA;
Normal;088300139507;1149621;;COL CAL KLE ETERNITY MOMENT EDP SPRAY 100ML SRA;19,180 €;77,07 €;21 %;93,25 €;57,89 €;301,8 %;75,1 %;0;390;NAYPES;PERFUMERIA SELECTIVA;
Normal;088300162505;1075369;;COL CAL KLE EUPHORIA 100V SRA;30,800 €;116,86 €;21 %;141,40 €;86,06 €;279,4 %;73,6 %;1;35;NAYPES;PERFUMERIA SELECTIVA;
Normal;3607342686229;1127531;;COL CAL KLE EUPHORIA EDP SPRAY 160V SR;40,880 €;99,17 €;21 %;120,00 €;58,29 €;142,6 %;58,8 %;0;52;AYATS;PERFUMERIA SELECTIVA;
Normal;088300106516;1097902;;COL CAL KLEIN OBSESSION MEN EDT SPRAY 125V CBR;17,771 €;53,68 €;21 %;64,95 €;35,91 €;202,1 %;66,9 %;2;202;NAYPES;PERFUMERIA SELECTIVA;
Normal;0088300178278;1152587;;COL CALVIN KELIN EUPHORIA MEN EDT 100V CBR;20,320 €;67,77 €;21 %;82,00 €;47,45 €;233,5 %;70,0 %;0;302;NAYPES;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411114087726;1139111;;COL CAPITAN AMERICA ESTU CREM EDT100+GEL60 INF;8,022 €;14,04 €;21 %;16,99 €;6,02 €;75,0 %;42,9 %;5;10;AIR-VAL;PERFUMERIA CONSUMO;
Actualizado desde fichero o API;8411114090092;1149368;;COL CAPITAN AMERICA MOCHILA EDT 50ML+GEL 300ML INF;8,788 €;12,36 €;21 %;14,95 €;3,57 €;40,6 %;28,9 %;13;152;AIR-VAL;PERFUMERIA CONSUMO;
Normal;8411061056769;1161554;;COL CAR  HERRERA GOOD GIRL BLUSH EDP SPRAY 50ML;41,208 €;92,98 €;21 %;112,50 €;51,77 €;125,6 %;55,7 %;2;7;PUIG PRESTIGE;...;
Actualizado desde fichero o API;8411061865408;1106216;;COL CAR HERR 212 EDT 100VAP (2X50ML) SRA;39,150 €;98,35 €;21 %;119,00 €;59,20 €;151,2 %;60,2 %;-1;54;BETER [ INDUSTRIAS BETER ];PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061894026;1105832;;COL CAR HERR 212 EDT 60V (2X30ML)SRA;24,687 €;62,40 €;21 %;75,50 €;37,71 €;152,8 %;60,4 %;-1;326;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061073728;1157591;;COL CAR HERR 212 HEROES FOR HER ESTUCHE EDP 80ML + BODY 100ML + EDT ROLL ON 10 SRA;51,604 €;102,07 €;21 %;123,50 €;50,47 €;97,8 %;49,4 %;3;179;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061023655;1151975;;COL CAR HERR 212 HEROES MAN EDT 150ML CBR;52,270 €;103,31 €;21 %;125,00 €;51,04 €;97,7 %;49,4 %;6;-1;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Normal;8411061980699;1138886;;COL CAR HERR 212 MEN EDT 100V ESTUCHE CBR;39,207 €;76,03 €;21 %;92,00 €;36,82 €;93,9 %;48,4 %;0;942;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061853160;1106218;;COL CAR HERR 212 MEN EDT 100VAP CBR;33,523 €;83,88 €;21 %;101,50 €;50,36 €;150,2 %;60,0 %;-7;18;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061853207;1044387;;COL CAR HERR 212 MEN EDT 200VAP CBR;39,217 €;98,76 €;21 %;119,50 €;59,54 €;151,8 %;60,3 %;-6;26;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061869376;1109206;;COL CAR HERR 212 VIP BLACK EDP 100VAP CBR;38,732 €;74,38 €;21 %;90,00 €;35,65 €;92,0 %;47,9 %;-3;130;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061870518;1113258;;COL CAR HERR 212 VIP BLACK EDP SPRAY 200ML CBR;46,744 €;102,48 €;21 %;124,00 €;55,74 €;119,2 %;54,4 %;0;544;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061711767;1075095;;COL CAR HERR 212 VIP EDP 80VAP SRA;43,136 €;83,88 €;21 %;101,50 €;40,74 €;94,5 %;48,6 %;0;547;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061723760;1075096;;COL CAR HERR 212 VIP MEN EDT 100VAP CBR;36,986 €;71,90 €;21 %;87,00 €;34,91 €;94,4 %;48,6 %;0;190;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061782347;1054270;;COL CAR HERR 212 VIP MEN EDT 200VAP CBR;46,007 €;98,76 €;21 %;119,50 €;52,75 €;114,7 %;53,4 %;-2;173;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061838778;1106223;;COL CAR HERR 212 VIP ROSE EDP 125VAP SRA;56,826 €;112,40 €;21 %;136,00 €;55,57 €;97,8 %;49,4 %;0;903;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061777183;1075099;;COL CAR HERR 212 VIP ROSE EDP 50VAP SRA;38,424 €;76,03 €;21 %;92,00 €;37,61 €;97,9 %;49,5 %;0;-1;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061065143;1105302;;COL CAR HERR 212 VIP ROSE EDP 80VAP ESTUCHE SRA;55,140 €;103,72 €;21 %;125,50 €;48,58 €;88,1 %;46,8 %;5;342;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061777176;1075100;;COL CAR HERR 212 VIP ROSE EDP 80VAP SRA;49,417 €;97,52 €;21 %;118,00 €;48,10 €;97,3 %;49,3 %;2;208;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061034330;1138885;;COL CAR HERR BAD BOY 100VAP ESTUCHE CBR;43,873 €;85,12 €;21 %;103,00 €;41,25 €;94,0 %;48,5 %;-4;229;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Normal;8411061027837;1152187;;COL CAR HERR BAD BOY COBALT EDP 100V CBR;37,192 €;86,78 €;21 %;105,00 €;49,59 €;133,3 %;57,1 %;8;22;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Normal;8411061027813;1152188;;COL CAR HERR BAD BOY COBALT EDP 50V CBR;26,804 €;62,40 €;21 %;75,50 €;35,60 €;132,8 %;57,0 %;3;12;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061001646;1148435;;COL CAR HERR BAD BOY COLLECTOR 2021 EDP 100ML CBR;43,466 €;84,30 €;21 %;102,00 €;40,83 €;93,9 %;48,4 %;-2;179;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061923245;1130298;;COL CAR HERR BAD BOY EDT 100VAP CBR;43,100 €;85,54 €;21 %;103,50 €;42,44 €;98,5 %;49,6 %;0;13;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061027820;;;COL CAR HERR BAD BOY EDT 150V;55,523 €;107,44 €;21 %;130,00 €;51,92 €;93,5 %;48,3 %;0;175;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061926093;1130299;;COL CAR HERR BAD BOY EDT 50VAP CBR;29,837 €;57,85 €;21 %;70,00 €;28,01 €;93,9 %;48,4 %;-1;197;PUIG PRESTIGE;PERFUMERIA CONSUMO;
Normal;8411061991886;1141880;;COL CAR HERR BAD BOY LE PARFUM EDP 100V CBR;45,551 €;88,43 €;21 %;107,00 €;42,88 €;94,1 %;48,5 %;-1;229;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061764626;1075109;;COL CAR HERR CHCH EDP SUBLIME 80VAP SRA;43,280 €;81,40 €;21 %;98,50 €;38,12 €;88,1 %;46,8 %;0;-1;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061067895;1075101;;COL CAR HERR CHCH EDT 100VAP SRA;53,303 €;100,83 €;21 %;122,00 €;47,53 €;89,2 %;47,1 %;0;164;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061607169;1075102;;COL CAR HERR CHCH EDT 50VAP SRA;33,911 €;65,70 €;21 %;79,50 €;31,79 €;93,7 %;48,4 %;-2;346;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061980200;1138888;;COL CAR HERR CHCH MEN EDT 100VAP ESTUCHE CBR;41,060 €;80,12 €;21 %;96,95 €;39,06 €;95,1 %;48,8 %;0;540;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061786161;1105095;;COL CAR HERR CHCH MEN EDT 200VAP CBR;56,830 €;100,41 €;21 %;121,50 €;43,58 €;76,7 %;43,4 %;3;173;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061933244;1119826;;COL CAR HERR CHCH MEN PRIVE EDT 100VAP ESTUCHE CBR;40,870 €;76,86 €;21 %;93,00 €;35,99 €;88,1 %;46,8 %;-1;430;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061824320;1096709;;COL CAR HERR CHCH MEN PRIVE EDT 150VAP CBR;49,868 €;94,63 €;21 %;114,50 €;44,76 €;89,8 %;47,3 %;0;511;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061934234;1075111;;COL CAR HERR EDP 100VAP SRA;40,030 €;100,41 €;21 %;121,50 €;60,38 €;150,8 %;60,1 %;0;84;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061934197;1075114;;COL CAR HERR EDP 50VAP SRA;33,581 €;65,29 €;21 %;79,00 €;31,71 €;94,4 %;48,6 %;0;722;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061081600;1075116;;COL CAR HERR EDT 100VAP CBR;31,540 €;66,94 €;21 %;81,00 €;35,40 €;112,2 %;52,9 %;0;59;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061064566;1142907;;COL CAR HERR GOOD GIRL  ESTUCHE (EDP 80ML+BODY 100ML+MINI)SRA;60,960 €;114,46 €;21 %;138,50 €;53,50 €;87,8 %;46,7 %;6;26;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061028919;1157595;;COL CAR HERR GOOD GIRL COLLECTOR EDP 80ML SRA;53,894 €;106,61 €;21 %;129,00 €;52,72 €;97,8 %;49,5 %;3;115;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061958483;1130662;;COL CAR HERR GOOD GIRL EDP 150VAP SRA;66,840 €;132,64 €;21 %;160,50 €;65,80 €;98,4 %;49,6 %;1;175;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061041673;1101747;;COL CAR HERR GOOD GIRL EDP 30VAP SRA;24,976 €;50,83 €;21 %;61,50 €;25,85 €;103,5 %;50,9 %;-1;209;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061026250;1098146;;COL CAR HERR GOOD GIRL EDP 50VAP SRA;40,050 €;79,34 €;21 %;96,00 €;39,29 €;98,1 %;49,5 %;1;96;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061818961;1101185;;COL CAR HERR GOOD GIRL EDP 80VAP SRA;51,290 €;101,65 €;21 %;123,00 €;50,36 €;98,2 %;49,5 %;-5;150;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061972151;1138851;;COL CAR HERR GOOD GIRL EDP SUPREME 80V SRA;56,590 €;111,98 €;21 %;135,50 €;55,39 €;97,9 %;49,5 %;2;63;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061995495;1148433;;COL CAR HERR GOOD GIRL GLITTER COLLECTOR EDP 80VAP SRA;51,623 €;100,00 €;21 %;121,00 €;48,38 €;93,7 %;48,4 %;-2;370;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061907610;1116302;;COL CAR HERR GOOD GIRL LEGERE EDP 30VAP SRA;25,686 €;50,00 €;21 %;60,50 €;24,31 €;94,7 %;48,6 %;0;810;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061996980;1142901;;COL CAR HERR VERY GOOD GIRL EDP 30V SRA;28,925 €;57,44 €;21 %;69,50 €;28,52 €;98,6 %;49,6 %;0;263;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061996973;1142900;;COL CAR HERR VERY GOOD GIRL EDP 50V;42,147 €;81,82 €;21 %;99,00 €;39,67 €;94,1 %;48,5 %;-2;411;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061995754;1142899;;COL CAR HERR VERY GOOD GIRL EDP SPRAY 80ML SRA;56,590 €;111,98 €;21 %;135,50 €;55,39 €;97,9 %;49,5 %;1;34;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Normal;8411061058466;1154235;;COL CAR HERR VERY GOOD GIRL GLAM  EDP SPRAY 50ML SRA;45,386 €;88,02 €;21 %;106,50 €;42,63 €;93,9 %;48,4 %;0;-1;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Normal;8411061058473;1154236;;COL CAR HERR VERY GOOD GIRL GLAM EDP SPRAY 30ML SRA;31,166 €;60,33 €;21 %;73,00 €;29,16 €;93,6 %;48,3 %;0;-1;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061058459;1154234;;COL CAR HERR VERY GOOD GIRL GLAM EDP SPRAY 80ML SRA;59,432 €;113,22 €;21 %;137,00 €;53,79 €;90,5 %;47,5 %;1;122;PUIG CONSUMO;PERFUMERIA SELECTIVA;
Normal;8411061055199;1161954;;COL CAR HERRERA  CHCH WOMEN PASION ED.LIM EDP 100ML SRA;55,960 €;105,37 €;21 %;127,50 €;49,41 €;88,3 %;46,9 %;0;-1;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061980682;1138862;;COL CAR HERRERA 212 100VAP ESTUCHE SRA;45,726 €;89,26 €;21 %;108,00 €;43,53 €;95,2 %;48,8 %;-1;255;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061972656;1144084;;COL CAR HERRERA 212 HEROES EDT 90ML VAPO CBR;46,875 €;88,02 €;21 %;106,50 €;41,15 €;87,8 %;46,8 %;1;96;PUIG CONSUMO;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061045800;1148437;;COL CAR HERRERA 212 HEROES EST (EDT 90ML + BW 100 + MINI 10ML)CBR;44,270 €;87,60 €;21 %;106,00 €;43,33 €;97,9 %;49,5 %;2;53;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Normal;8411061994702;1155961;;COL CAR HERRERA 212 HEROES FOR HER EDP 50ML SRA;38,270 €;75,62 €;21 %;91,50 €;37,35 €;97,6 %;49,4 %;1;108;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Normal;8411061994696;1155960;;COL CAR HERRERA 212 HEROES FOR HER EDP 80ML SRA;51,240 €;96,28 €;21 %;116,50 €;45,04 €;87,9 %;46,8 %;1;83;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061020319;1142905;;COL CAR HERRERA 212 VIP ROSE ESTUCHE 50ML SRA;36,210 €;70,25 €;21 %;85,00 €;34,04 €;94,0 %;48,5 %;0;631;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061028933;1157612;;COL CAR HERRERA BAD BOY COLLECTOR EDT 100ML CBR;45,505 €;90,08 €;21 %;109,00 €;44,58 €;98,0 %;49,5 %;3;133;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Normal;8411061057056;1160538;;COL CAR HERRERA BAD BOY EXTREME EDP 100ML CBR;53,480 €;100,83 €;21 %;122,00 €;47,35 €;88,5 %;47,0 %;1;22;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061028438;1142906;;COL CAR HERRERA CHCH ESTUCHE (EDT 100ML + BODY 100ML+MINI)SRA;45,990 €;95,87 €;21 %;116,00 €;49,88 €;108,5 %;52,0 %;0;358;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Actualizado desde fichero o API;8411061067925;1075105;;COL CAR HERRERA CHCH MEN EDT SPRAY 100ML CBR;41,520 €;87,60 €;21 %;106,00 €;46,08 €;111,0 %;52,6 %;0;29;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Normal;8411061055182;1161953;;COL CAR HERRERA CHCH MEN PASION ED.LIM EDP 100ML CBR;48,932 €;92,15 €;21 %;111,50 €;43,22 €;88,3 %;46,9 %;0;-1;PUIG PRESTIGE;PERFUMERIA SELECTIVA;
Normal;8411061056752;1161553;;COL CAR HERRERA GOOD GIRL BLUSH EDP SPRAY 80ML SRA;56,444 €;119,42 €;21 %;144,50 €;62,98 €;111,6 %;52,7 %;4;18;PUIG PRESTIGE;...;
Normal;8411061056776;1161555;;COL CAROL HERRERA GOOD GIRL BLUSH EDP SPRAY 30ML;34,020 €;64,05 €;21 %;77,50 €;30,03 €;88,3 %;46,9 %;6;-1;PUIG PRESTIGE;...;
Normal;3432240000989;;;COL CARTIER PASHA CBR 100V;42,280 €;72,31 €;21 %;87,50 €;30,03 €;71,0 %;41,5 %;0;-1;NAYPES;PERFUMERIA SELECTIVA;
